"num","p5.meas","treatment","temp.avg","temp.var","date.hatch","date.died","date.ovp","num.ovp","suc.ovp","date.3","mass.3","date.4","mass.4","date.5","mass.5","date.p5.1","date.p5.2","date.p5.3","date.cull","mass.cull","inst.6","date.wand","mass.wand","date.em","instar.em","bled.em","mass.48em","date.ecl","num.em","num.coc","num.fail.spin","num.unem","num.ecl","load","mongo","left_out","notes","diss.notes","date.hatch.j","date.died.j","date.ovp.j","date.3.j","date.4.j","date.5.j","date.p5.1.j","date.p5.2.j","date.p5.3.j","date.cull.j","date.wand.j","date.em.j","date.ecl.j","died","died.bf5","tt3","tt4","tt5","ttwand","ttem.h","ttcull","ttem.w","ttecl","ps.em","ps.ecl","ttend","end.class","early_cull","ttp5.1","ttp5.2","ttp5.3","mass","age"
175,"p5.2","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",47.06,"2/2/20",216.34,"2/6/20",1309.16,"2/13/20","2/20/20",NA,NA,NA,NA,"2/20/20",7211.92,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. wandered on date p5.2. put in pupae box to see if it pupates. failed to pupate properly, larval pupal intermediate",NA,26,0,29,29,33,37,44,51,NA,0,51,0,NA,0,0,3,7,11,25,NA,NA,NA,NA,0,0,25,"wand",0,18,25,NA,7211.92,25
175,"p5.3","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",47.06,"2/2/20",216.34,"2/6/20",1309.16,"2/13/20","2/20/20",NA,NA,NA,NA,"2/20/20",7211.92,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. wandered on date p5.2. put in pupae box to see if it pupates. failed to pupate properly, larval pupal intermediate",NA,26,0,29,29,33,37,44,51,NA,0,51,0,NA,0,0,3,7,11,25,NA,NA,NA,NA,0,0,25,"wand",0,18,25,NA,NA,NA
179,"end","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",42.23,"2/1/20",163.3,"2/5/20",832.76,"2/12/20","2/19/20",NA,"2/20/20",2787.28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. close to death on 2/20/20, culled early. frozen for dissection",NA,26,0,29,29,32,36,43,50,NA,51,0,0,NA,0,0,3,6,10,NA,NA,25,NA,NA,0,0,25,"cull",1,17,24,NA,2787.28,25
179,"p5.1","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",42.23,"2/1/20",163.3,"2/5/20",832.76,"2/12/20","2/19/20",NA,"2/20/20",2787.28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. close to death on 2/20/20, culled early. frozen for dissection",NA,26,0,29,29,32,36,43,50,NA,51,0,0,NA,0,0,3,6,10,NA,NA,25,NA,NA,0,0,25,"cull",1,17,24,NA,3371.42,17
179,"p5.2","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",42.23,"2/1/20",163.3,"2/5/20",832.76,"2/12/20","2/19/20",NA,"2/20/20",2787.28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. close to death on 2/20/20, culled early. frozen for dissection",NA,26,0,29,29,32,36,43,50,NA,51,0,0,NA,0,0,3,6,10,NA,NA,25,NA,NA,0,0,25,"cull",1,17,24,NA,2991.32,24
179,"p5.3","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",42.23,"2/1/20",163.3,"2/5/20",832.76,"2/12/20","2/19/20",NA,"2/20/20",2787.28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. close to death on 2/20/20, culled early. frozen for dissection",NA,26,0,29,29,32,36,43,50,NA,51,0,0,NA,0,0,3,6,10,NA,NA,25,NA,NA,0,0,25,"cull",1,17,24,NA,NA,NA
180,"end","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",43.31,"2/2/20",280.64,"2/7/20",2046.94,"2/14/20","2/21/20",NA,NA,NA,NA,"2/22/20",9656.83,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. wandered 2/22/20. massed and frozen for testing. looked like some anal prolapse happening",NA,26,0,29,29,33,38,45,52,NA,0,53,0,NA,0,0,3,7,12,27,NA,NA,NA,NA,0,0,27,"wand",0,19,26,NA,9656.83,27
180,"p5.1","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",43.31,"2/2/20",280.64,"2/7/20",2046.94,"2/14/20","2/21/20",NA,NA,NA,NA,"2/22/20",9656.83,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. wandered 2/22/20. massed and frozen for testing. looked like some anal prolapse happening",NA,26,0,29,29,33,38,45,52,NA,0,53,0,NA,0,0,3,7,12,27,NA,NA,NA,NA,0,0,27,"wand",0,19,26,NA,12957.27,19
180,"p5.2","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",43.31,"2/2/20",280.64,"2/7/20",2046.94,"2/14/20","2/21/20",NA,NA,NA,NA,"2/22/20",9656.83,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. wandered 2/22/20. massed and frozen for testing. looked like some anal prolapse happening",NA,26,0,29,29,33,38,45,52,NA,0,53,0,NA,0,0,3,7,12,27,NA,NA,NA,NA,0,0,27,"wand",0,19,26,NA,9982.47,26
180,"p5.3","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",43.31,"2/2/20",280.64,"2/7/20",2046.94,"2/14/20","2/21/20",NA,NA,NA,NA,"2/22/20",9656.83,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. wandered 2/22/20. massed and frozen for testing. looked like some anal prolapse happening",NA,26,0,29,29,33,38,45,52,NA,0,53,0,NA,0,0,3,7,12,27,NA,NA,NA,NA,0,0,27,"wand",0,19,26,NA,NA,NA
188,"end","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",46.21,"2/2/20",112.87,"2/8/20",1222.3,"2/15/20","2/22/20",NA,NA,NA,NA,"2/28/20",7046.84,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. wandered 2/28/20. put in pupae box to see if it pupates",NA,26,0,29,29,33,39,46,53,NA,0,59,0,NA,0,0,3,7,13,33,NA,NA,NA,NA,0,0,33,"wand",0,20,27,NA,7046.84,33
188,"p5.1","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",46.21,"2/2/20",112.87,"2/8/20",1222.3,"2/15/20","2/22/20",NA,NA,NA,NA,"2/28/20",7046.84,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. wandered 2/28/20. put in pupae box to see if it pupates",NA,26,0,29,29,33,39,46,53,NA,0,59,0,NA,0,0,3,7,13,33,NA,NA,NA,NA,0,0,33,"wand",0,20,27,NA,8340.89,20
188,"p5.2","para",30,"10","1/26/20",NA,"1/29/20",1,NA,"1/29/20",46.21,"2/2/20",112.87,"2/8/20",1222.3,"2/15/20","2/22/20",NA,NA,NA,NA,"2/28/20",7046.84,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,"ovp and put in chamber around 12pm. wandered 2/28/20. put in pupae box to see if it pupates",NA,26,0,29,29,33,39,46,53,NA,0,59,0,NA,0,0,3,7,13,33,NA,NA,NA,NA,0,0,33,"wand",0,20,27,NA,9214.97,27
