"bug.id","temp.avg","temp.var","treatment","instar","mass.wand","mass.48em","num.ovp","suc.ovp","instar.em","bled.em","num.em","num.coc","num.fail.spin","num.ecl","num.unem","load","date.hatch.j","date.died.j","date.3.j","date.4.j","date.5.j","date.wand.j","date.ovp.j","date.em.j","date.ecl.j","ttecl","ttem.w","ps.em","ps.ecl","tt3","tt4","tt5","ttwand","ttem.h","diet","ttend","died","died.bf5","date.cull.j","mass.cull","left_out","ttcull","mongo","end.class","expt","keep","keep2","mass","age"
"112",30,10,"para","4",NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,33,38,0,29,0,NA,NA,NA,0,0,4,8,13,NA,NA,"col",31,0,0,56,1189.87,NA,31,1,"cull","repl",1,1,78.91,8
"112",30,10,"para","5",NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,33,38,0,29,0,NA,NA,NA,0,0,4,8,13,NA,NA,"col",31,0,0,56,1189.87,NA,31,1,"cull","repl",1,1,692,13
"112",30,10,"para","end",NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,33,38,0,29,0,NA,NA,NA,0,0,4,8,13,NA,NA,"col",31,0,0,56,1189.87,NA,31,1,"cull","repl",1,1,1189.87,31
"113",30,0,"control","3",10380.05,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,35,38,NA,0,NA,NA,NA,0,0,4,6,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,51.95,4
"113",30,0,"control","4",10380.05,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,35,38,NA,0,NA,NA,NA,0,0,4,6,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,205.96,6
"113",30,0,"control","5",10380.05,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,35,38,NA,0,NA,NA,NA,0,0,4,6,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,3812.41,10
"113",30,0,"control","end",10380.05,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,35,38,NA,0,NA,NA,NA,0,0,4,6,10,13,NA,"col",13,0,0,0,NA,NA,NA,0,"wand","repl",1,1,10380.05,13
"115",30,0,"para","3",NA,3239.82,1,NA,5,0,156,150,6,135,30,186,25,0,29,32,36,0,29,39,44,15,10,0.838709677419355,0.725806451612903,4,7,11,NA,14,"col",14,0,0,0,NA,1,NA,0,"em","repl",1,1,47.73,4
"115",30,0,"para","4",NA,3239.82,1,NA,5,0,156,150,6,135,30,186,25,0,29,32,36,0,29,39,44,15,10,0.838709677419355,0.725806451612903,4,7,11,NA,14,"col",14,0,0,0,NA,1,NA,0,"em","repl",1,1,147.11,7
"115",30,0,"para","5",NA,3239.82,1,NA,5,0,156,150,6,135,30,186,25,0,29,32,36,0,29,39,44,15,10,0.838709677419355,0.725806451612903,4,7,11,NA,14,"col",14,0,0,0,NA,1,NA,0,"em","repl",1,1,1797.24,11
"115",30,0,"para","end",NA,3239.82,1,NA,5,0,156,150,6,135,30,186,25,0,29,32,36,0,29,39,44,15,10,0.838709677419355,0.725806451612903,4,7,11,NA,14,"col",14,0,0,0,NA,1,NA,0,"em","repl",1,1,3239.82,14
"117",30,0,"control","3",11222.36,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,34,37,NA,0,NA,NA,NA,0,0,4,6,9,12,NA,"col",12,0,0,0,NA,NA,NA,0,"wand","repl",1,1,54.7,4
"117",30,0,"control","4",11222.36,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,34,37,NA,0,NA,NA,NA,0,0,4,6,9,12,NA,"col",12,0,0,0,NA,NA,NA,0,"wand","repl",1,1,199.04,6
"117",30,0,"control","5",11222.36,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,34,37,NA,0,NA,NA,NA,0,0,4,6,9,12,NA,"col",12,0,0,0,NA,NA,NA,0,"wand","repl",1,1,2728.82,9
"117",30,0,"control","end",11222.36,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,31,34,37,NA,0,NA,NA,NA,0,0,4,6,9,12,NA,"col",12,0,0,0,NA,NA,NA,0,"wand","repl",1,1,11222.36,12
"118",30,10,"control","3",9001.38,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,42,NA,0,NA,NA,NA,0,0,4,7,11,17,NA,"col",17,0,0,0,NA,NA,NA,0,"wand","repl",1,1,50.11,4
"118",30,10,"control","4",9001.38,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,42,NA,0,NA,NA,NA,0,0,4,7,11,17,NA,"col",17,0,0,0,NA,NA,NA,0,"wand","repl",1,1,451.67,7
"118",30,10,"control","5",9001.38,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,42,NA,0,NA,NA,NA,0,0,4,7,11,17,NA,"col",17,0,0,0,NA,NA,NA,0,"wand","repl",1,1,2038.72,11
"118",30,10,"control","end",9001.38,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,42,NA,0,NA,NA,NA,0,0,4,7,11,17,NA,"col",17,0,0,0,NA,NA,NA,0,"wand","repl",1,1,9001.38,17
"119",30,0,"para","3",NA,3305.99,1,NA,5,0,130,121,9,0,35,165,25,0,29,33,37,0,29,41,46,17,12,0.787878787878788,0,4,8,12,NA,16,"col",16,0,0,0,NA,NA,NA,0,"em","repl",1,1,34.1,4
"119",30,0,"para","4",NA,3305.99,1,NA,5,0,130,121,9,0,35,165,25,0,29,33,37,0,29,41,46,17,12,0.787878787878788,0,4,8,12,NA,16,"col",16,0,0,0,NA,NA,NA,0,"em","repl",1,1,104.68,8
"119",30,0,"para","5",NA,3305.99,1,NA,5,0,130,121,9,0,35,165,25,0,29,33,37,0,29,41,46,17,12,0.787878787878788,0,4,8,12,NA,16,"col",16,0,0,0,NA,NA,NA,0,"em","repl",1,1,750.96,12
"119",30,0,"para","end",NA,3305.99,1,NA,5,0,130,121,9,0,35,165,25,0,29,33,37,0,29,41,46,17,12,0.787878787878788,0,4,8,12,NA,16,"col",16,0,0,0,NA,NA,NA,0,"em","repl",1,1,3305.99,16
"12",30,10,"para","3",NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,23,0,27,30,34,0,27,0,NA,NA,NA,0,0,4,7,11,NA,NA,"col",30,0,0,53,8769.46,NA,30,1,"cull","repl",1,1,58.18,4
"12",30,10,"para","4",NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,23,0,27,30,34,0,27,0,NA,NA,NA,0,0,4,7,11,NA,NA,"col",30,0,0,53,8769.46,NA,30,1,"cull","repl",1,1,274.11,7
"12",30,10,"para","5",NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,23,0,27,30,34,0,27,0,NA,NA,NA,0,0,4,7,11,NA,NA,"col",30,0,0,53,8769.46,NA,30,1,"cull","repl",1,1,1576.91,11
"12",30,10,"para","end",NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,0,23,0,27,30,34,0,27,0,NA,NA,NA,0,0,4,7,11,NA,NA,"col",30,0,0,53,8769.46,NA,30,1,"cull","repl",1,1,8769.46,30
"120",30,10,"para","3",NA,NA,2,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,0,29,0,NA,NA,NA,0,0,4,7,11,NA,NA,"col",22,0,0,47,2135.25,NA,22,1,"cull","repl",1,1,58.75,4
"120",30,10,"para","4",NA,NA,2,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,0,29,0,NA,NA,NA,0,0,4,7,11,NA,NA,"col",22,0,0,47,2135.25,NA,22,1,"cull","repl",1,1,192.06,7
"120",30,10,"para","5",NA,NA,2,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,0,29,0,NA,NA,NA,0,0,4,7,11,NA,NA,"col",22,0,0,47,2135.25,NA,22,1,"cull","repl",1,1,1276.23,11
"120",30,10,"para","end",NA,NA,2,NA,NA,NA,0,NA,NA,0,NA,0,25,0,29,32,36,0,29,0,NA,NA,NA,0,0,4,7,11,NA,NA,"col",22,0,0,47,2135.25,NA,22,1,"cull","repl",1,1,2135.25,22
